L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.11,1.02,1.11,0.51,0.77,1.44,0.48,0.58,7.02,0.0,9.34,4.08,1.53,0.2,0.29,0.29,0.29,16.02,1
1.19,1.11,1.19,0.51,0.77,1.53,0.48,0.58,7.359999999999999,0.09,4.84,2.3,0.51,0.1,0.39,0.1,0.29,8.62,1
1.28,1.11,1.28,0.6,0.77,1.53,0.48,0.58,7.629999999999999,0.43,0.43,1.19,0.26,0.2,0.48,0.1,0.2,3.29,1
1.36,1.11,1.36,0.6,0.87,1.53,0.48,0.58,7.89,0.17,0.26,1.36,0.68,0.2,0.48,0.0,0.29,3.4400000000000004,1
1.36,1.11,1.28,0.68,0.87,1.53,0.48,0.58,7.89,0.09,0.34,1.36,0.77,0.2,0.48,0.1,0.29,3.63,1
1.36,0.85,1.28,0.51,0.87,1.15,3.73,0.29,10.04,0.09,0.34,1.36,0.85,0.2,0.58,0.0,0.29,3.71,1
1.36,1.11,1.28,0.51,0.87,1.25,9.95,3.73,20.060000000000002,0.09,0.43,1.28,0.94,0.2,0.58,0.0,0.29,3.8099999999999996,1
1.45,1.19,1.28,0.68,0.87,0.87,11.95,3.45,21.739999999999995,0.09,0.43,1.45,1.02,0.2,0.58,0.0,0.29,4.06,1
1.45,3.49,1.11,1.45,0.87,0.96,11.76,3.92,25.009999999999998,0.09,0.43,1.36,1.11,0.2,0.58,0.1,0.2,4.07,1
1.53,5.78,1.7,3.32,0.87,0.77,11.29,3.92,29.18,0.17,0.43,1.45,1.02,0.2,0.58,3.83,3.16,10.84,1
1.53,7.65,2.47,4.17,0.96,0.96,11.29,3.92,32.95,0.17,0.51,1.36,1.02,0.1,0.39,9.47,6.41,19.43,1
1.45,9.17,3.23,4.76,0.96,0.96,9.76,3.26,33.55,0.17,0.34,1.45,2.38,0.1,0.29,11.76,7.17,23.66,1
1.36,9.94,4.17,5.35,0.96,0.87,8.13,2.39,33.17,0.17,1.02,2.13,3.32,0.1,0.39,12.15,7.65,26.93,1
1.28,10.62,4.93,6.54,0.96,0.96,6.79,1.44,33.519999999999996,0.17,1.96,3.57,4.67,0.2,0.67,10.43,6.41,28.080000000000002,1
1.36,10.62,5.78,7.73,0.96,0.96,5.55,0.87,33.83,0.17,2.98,5.61,6.12,0.2,1.06,6.89,4.69,27.72,1
1.19,11.21,6.63,8.49,0.96,1.15,4.31,0.67,34.61,0.17,3.57,6.97,8.83,0.2,1.06,5.55,3.35,29.7,1
1.28,11.38,7.48,9.77,0.96,1.63,1.82,0.58,34.9,0.17,4.84,9.6,11.55,0.2,1.15,4.02,1.92,33.449999999999996,1
1.45,11.55,7.82,10.02,0.58,1.92,0.48,0.48,34.3,0.17,5.27,10.79,12.66,0.2,1.25,2.97,1.06,34.370000000000005,1
1.28,10.79,7.05,6.63,0.29,1.15,0.2,0.48,27.87,0.17,5.86,11.64,12.91,0.2,1.25,1.73,0.77,34.53,1
0.77,6.97,2.21,2.64,0.39,1.34,0.29,0.48,15.09,0.17,6.37,11.98,12.91,0.2,1.06,1.25,0.48,34.42,1
0.34,3.4,0.51,0.26,0.58,1.34,0.39,0.48,7.3,0.17,7.22,11.81,12.4,0.2,0.67,0.87,0.29,33.63,1
0.68,1.19,0.77,0.34,0.67,1.53,0.39,0.58,6.15,0.17,7.05,11.13,7.31,0.2,0.29,0.2,0.29,26.64,1
0.77,1.02,0.94,0.43,0.77,1.63,0.48,0.58,6.62,0.17,5.44,5.01,2.04,0.2,0.39,0.0,0.29,13.540000000000001,1
0.85,1.02,1.02,0.43,0.77,1.73,0.58,0.58,6.98,0.26,1.53,2.38,0.34,0.2,0.48,0.0,0.29,5.4799999999999995,1
0.94,1.02,1.02,0.43,0.77,1.73,0.58,0.67,7.16,0.17,0.43,1.7,0.43,0.2,0.48,0.0,0.2,3.61,1
1.02,1.02,1.11,0.51,0.87,1.63,0.48,0.67,7.3100000000000005,0.17,0.43,1.62,0.77,0.2,0.58,0.0,0.29,4.0600000000000005,1
1.02,1.02,1.11,0.51,0.87,1.73,0.58,0.67,7.51,0.17,0.43,1.53,0.85,0.2,0.58,0.0,0.29,4.05,1
1.02,1.02,1.19,0.51,0.87,1.73,0.58,0.67,7.59,0.09,0.51,1.53,0.94,0.2,0.67,0.0,0.29,4.23,1
1.02,1.11,1.19,0.6,0.87,1.82,0.48,0.67,7.76,0.09,0.51,1.53,0.94,0.2,0.67,0.0,0.39,4.33,1
1.11,0.94,1.19,0.51,0.87,1.53,2.39,0.2,8.74,0.09,0.51,1.62,0.94,0.2,0.67,0.0,0.39,4.42,1
1.02,1.11,1.19,0.43,0.87,1.34,9.09,3.54,18.59,0.09,0.51,1.53,0.94,0.2,0.58,0.39,0.2,4.4399999999999995,1
1.11,0.68,1.19,0.6,0.87,0.87,12.15,3.54,21.009999999999998,0.17,0.43,1.53,0.94,0.2,0.58,3.73,2.59,10.17,1
1.19,2.81,1.36,1.62,0.67,0.67,12.72,4.31,25.35,0.09,0.6,1.45,1.02,0.2,0.29,6.6,5.36,15.610000000000001,1
1.28,3.91,2.04,4.0,0.77,0.48,11.95,4.59,29.02,0.17,2.55,1.96,2.98,0.2,0.48,9.76,5.93,24.03,1
1.19,4.08,2.89,5.86,0.87,0.96,10.14,4.12,30.110000000000003,0.17,4.76,3.57,4.08,0.1,0.67,9.09,5.55,27.990000000000002,1
1.28,4.17,3.91,6.88,0.87,1.53,8.42,3.06,30.119999999999997,0.17,6.54,5.1,4.76,0.2,0.77,6.51,4.21,28.259999999999998,1
1.28,4.59,4.84,8.16,0.96,1.53,7.08,2.49,30.93,0.09,8.24,6.12,5.44,0.2,0.58,5.26,2.87,28.799999999999997,1
1.28,5.18,5.61,8.83,0.96,1.34,6.98,2.49,32.67,0.17,9.68,7.05,5.78,0.2,0.48,4.31,2.2,29.869999999999997,1
1.28,5.78,6.03,8.66,0.96,1.34,6.6,1.82,32.47,0.17,11.72,7.9,6.2,0.2,0.58,3.83,1.63,32.230000000000004,1
1.19,7.56,6.88,9.43,0.87,1.73,5.45,0.87,33.98,0.26,13.08,8.92,6.88,0.2,0.67,2.87,0.87,33.75,1
1.11,8.92,7.9,10.45,0.87,1.82,3.35,0.77,35.190000000000005,0.34,14.35,9.51,7.31,0.2,0.67,1.63,0.48,34.489999999999995,1
1.11,9.77,9.17,11.13,0.58,1.53,0.48,0.48,34.25,0.26,14.01,8.49,3.83,0.2,0.29,1.15,0.29,28.52,1
1.28,8.49,9.34,10.45,0.2,1.63,0.2,0.39,31.979999999999997,0.26,4.76,2.13,0.68,0.2,0.48,0.1,0.29,8.9,1
1.02,5.61,5.1,4.84,0.29,0.87,0.29,0.39,18.41,0.51,0.43,1.28,0.26,0.2,0.58,0.0,0.2,3.46,1
0.85,3.15,1.19,1.87,0.58,1.06,0.29,0.39,9.38,0.43,0.26,1.28,0.68,0.2,0.58,0.0,0.29,3.7199999999999998,1
1.02,1.02,1.02,0.51,0.67,1.15,0.29,0.39,6.07,0.34,0.26,1.36,0.77,0.2,0.58,0.0,0.29,3.8,1
1.11,0.94,1.19,0.43,0.77,1.34,0.48,0.39,6.65,0.26,0.34,1.36,0.85,0.2,0.58,0.0,0.29,3.88,1
1.19,0.94,1.19,0.51,0.77,1.25,0.58,0.48,6.91,0.09,0.34,1.45,0.94,0.2,0.67,0.0,0.29,3.98,1
1.28,1.02,1.28,0.51,0.77,1.44,0.39,0.48,7.17,0.09,0.43,1.45,1.02,0.2,0.67,0.0,0.29,4.15,1
1.28,1.02,1.36,0.68,0.77,1.44,0.39,0.48,7.42,0.09,0.51,1.45,1.02,0.2,0.67,0.0,0.29,4.23,1
