L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
2.3,2.3,1.36,5.52,0.58,1.06,10.23,11.48,34.83,0.68,1.53,2.47,3.4,0.2,2.49,13.58,7.65,32.0,1
2.38,2.3,1.87,6.63,0.67,1.92,9.47,10.9,36.14,0.77,1.19,2.21,3.23,0.48,2.87,13.58,7.17,31.5,1
2.38,2.3,1.87,6.63,0.67,1.92,9.47,10.9,36.14,0.68,0.94,2.21,3.57,0.77,3.83,13.2,7.27,32.47,1
2.47,3.06,3.4,8.16,0.77,2.68,9.18,10.23,39.95,0.43,0.94,2.98,4.93,0.77,4.69,12.91,6.7,34.35,1
3.06,11.13,9.77,10.45,0.87,2.3,4.21,6.6,48.38999999999999,0.6,2.72,8.07,6.8,0.87,4.78,10.43,3.06,37.33,1
3.06,11.13,9.77,10.45,0.87,2.3,4.21,6.6,48.38999999999999,0.85,4.93,12.74,9.6,0.67,4.21,1.92,2.49,37.41,1
3.74,15.54,13.42,12.82,0.29,1.73,0.29,2.59,50.42,1.53,7.65,15.88,10.79,0.87,2.97,2.01,1.53,43.230000000000004,1
6.37,17.24,15.54,5.1,0.87,0.87,0.58,0.29,46.86,3.83,7.82,16.82,6.97,0.96,2.59,2.11,1.15,42.25,1
3.23,8.92,7.39,2.72,0.87,0.96,0.67,0.2,24.959999999999997,2.55,6.03,9.94,2.04,0.96,1.73,2.4,0.96,26.610000000000003,1
0.34,2.21,1.62,0.68,0.39,0.96,0.67,0.2,7.07,1.19,2.64,2.21,0.34,0.96,2.01,2.4,0.87,12.620000000000001,1
1.02,0.85,0.68,0.51,0.67,1.06,0.67,0.2,5.66,0.6,0.51,1.11,0.34,0.96,1.92,2.49,1.34,9.27,1
1.45,1.02,0.6,0.68,0.77,1.06,0.87,0.29,6.74,0.85,0.68,1.19,0.51,1.06,2.01,2.78,1.44,10.52,1
1.53,1.02,0.6,0.68,0.87,1.15,0.87,0.39,7.11,0.94,0.85,1.02,0.68,1.15,2.2,2.68,1.44,10.96,1
1.53,1.02,0.6,0.68,0.87,1.15,0.87,0.39,7.11,0.94,0.94,1.02,0.77,1.15,2.2,2.87,1.53,11.42,1
1.7,1.11,0.6,0.77,0.87,1.15,0.87,0.39,7.46,0.94,1.02,1.11,0.85,1.15,2.3,2.87,1.63,11.87,1
1.7,1.11,0.6,0.68,0.96,1.15,0.77,0.29,7.26,1.02,1.02,1.11,0.85,1.25,2.3,2.87,1.44,11.86,1
1.7,1.11,0.6,0.68,0.96,1.15,0.77,0.29,7.26,1.02,1.11,1.19,0.94,1.15,1.92,0.96,1.06,9.35,1
